Subject,Condition,Distance
1,1uM,38.8652
2,1uM,185.048
3,1uM,142.09
4,1uM,51.3294
5,1uM,27.8723
6,1uM,24.2592
7,1uM,70.904
8,1uM,7.22774
9,1uM,148.565
10,1uM,113.865
11,5uM,124.856
12,5uM,145.491
13,5uM,134.054
14,5uM,108.785
15,5uM,118.705
16,5uM,142.06
17,5uM,19.334
18,5uM,40.8992
19,5uM,135.052
20,5uM,88.7169
21,10uM,193.402
22,10uM,134.495
23,10uM,118.588
24,10uM,148.826
25,10uM,161.736
26,10uM,59.1673
27,10uM,41.4283
28,10uM,14.241
29,10uM,51.5316
30,10uM,104.163
31,20uM,129.568
32,20uM,152.396
33,20uM,55.0815
34,20uM,146.445
35,20uM,84.3961
36,20uM,56.8678
37,20uM,85.4936
38,20uM,13.6147
39,20uM,112.755
40,20uM,25.0243
41,Control,164.436
42,Control,166.135
43,Control,123.789
44,Control,163.039
45,Control,39.489
46,Control,15.2933
47,Control,71.7996
48,Control,37.2312
49,Control,49.5465
50,Control,116.512
51,100uM,20.8127
52,100uM,25.8239
53,100uM,64.7882
54,100uM,59.1021
55,100uM,74.4857
56,100uM,0
57,100uM,13.5263
58,100uM,14.8421
59,100uM,50.0647
60,100uM,15.523
